iter	Passed	Remaining
288	8145	20039
289	8174	20013
290	8204	19989
291	8234	19966
292	8262	19937
293	8291	19910
294	8320	19884
295	8345	19848
296	8375	19825
297	8405	19799
298	8435	19776
299	8461	19743
300	8491	19719
301	8521	19696
302	8548	19665
303	8578	19639
304	8605	19608
305	8637	19589
306	8662	19554
307	8689	19522
308	8718	19497
309	8747	19469
310	8775	19442
311	8804	19415
312	8835	19392
313	8859	19356
314	8891	19335
315	8920	19308
316	8949	19283
317	8980	19259
318	9012	19239
319	9041	19214
320	9064	19174
321	9093	19148
322	9123	19121
323	9152	19096
324	9181	19069
325	9213	19047
326	9243	19023
327	9267	18987
328	9296	18960
329	9324	18931
330	9354	18905
331	9383	18880
332	9413	18855
333	9443	18830
334	9470	18800
335	9498	18770
336	9528	18745
337	9562	18728
338	9591	18701
339	9619	18673
340	9650	18650
341	9678	18621
342	9707	18594
343	9736	18567
344	9765	18540
345	9794	18512
346	9823	18485
347	9855	18464
348	9881	18432
349	9910	18404
350	9939	18378
351	9967	18349
352	9993	18317
353	10020	18286
354	10050	18261
355	10075	18226
356	10103	18197
357	10132	18170
358	10162	18145
359	10190	18116
360	10218	18087
361	10247	18059
362	10276	18033
363	10305	18006
364	10334	17980
365	10364	17953
366	10391	17923
367	10422	17900
368	10454	17877
369	10481	17847
370	10505	17810
371	10536	17786
372	10566	17762
373	10595	17735
374	10624	17708
375	10656	17684
376	10681	17651
377	10709	17622
378	10738	17595
379	10766	17566
380	10793	17536
381	10820	17504
382	10852	17482
383	10882	17457
384	10909	17426
385	10937	17397
386	10967	17372
387	10995	17343
388	11022	17312
389	11050	17284
390	11080	17258
391	11107	17228
392	11137	17202
393	11167	17176
394	11197	17151
395	11225	17121
396	11257	17098
397	11283	17067
398	11310	17036
399	11339	17009
400	11370	16984
401	11397	16953
402	11426	16927
403	11456	16900
404	11482	16868
405	11512	16843
406	11540	16815
407	11568	16785
408	11593	16752
409	11622	16724
410	11650	16696
411	11679	16668
412	11705	16637
413	11730	16604
414	11760	16578
415	11787	16548
416	11815	16519
417	11844	16491
418	11871	16461
419	11899	16432
420	11925	16401
421	11956	16375
422	11983	16346
423	12010	16316
424	12039	16288
425	12067	16259
426	12095	16231
427	12121	16199
428	12149	16171
429	12180	16145
430	12205	16113
431	12231	16082
432	12259	16053
433	12289	16027
434	12317	15998
435	12344	15968
436	12373	15941
437	12402	15913
438	12430	15884
439	12457	15854
440	12487	15828
441	12513	15797
442	12535	15761
443	12565	15735
444	12595	15709
445	12623	15679
446	12652	15652
447	12679	15622
448	12706	15592
449	12733	15563
450	12762	15535
451	12793	15510
452	12821	15482
453	12847	15450
454	12874	15420
455	12902	15392
456	12932	15365
457	12959	15335
458	12987	15308
459	13016	15280
460	13043	15250
461	13069	15219
462	13099	15193
463	13126	15163
464	13153	15133
465	13182	15105
466	13212	15079
467	13238	15049
468	13264	15017
469	13294	14991
470	13322	14962
471	13347	14931
472	13374	14901
473	13405	14875
474	13433	14847
475	13459	14816
476	13492	14793
477	13522	14766
478	13548	14736
479	13574	14705
480	13603	14678
481	13632	14650
482	13658	14620
483	13683	14588
484	13713	14561
485	13741	14532
486	13764	14499
487	13794	14472
488	13826	14448
489	13851	14416
490	13875	14384
491	13905	14357
492	13930	14325
493	13955	14294
494	13981	14264
495	14014	14240
496	14043	14212
497	14065	14178
498	14094	14151
499	14127	14127
500	14154	14097
501	14180	14067
502	14213	14044
503	14244	14018
504	14267	13984
505	14297	13957
506	14328	13933
507	14355	13902
508	14386	13878
509	14419	13853
510	14446	13824
511	14474	13796
512	14502	13767
513	14536	13744
514	14560	13712
515	14587	13683
516	14619	13657
517	14649	13631
518	14676	13601
519	14706	13575
520	14738	13550
521	14764	13519
522	14794	13493
523	14823	13465
524	14852	13437
525	14881	13410
526	14908	13380
527	14938	13354
528	14965	13324
529	14992	13295
530	15024	13270
531	15051	13241
532	15079	13212
533	15108	13184
534	15140	13159
535	15169	13131
536	15198	13103
537	15231	13079
538	15259	13051
539	15287	13022
540	15314	12993
541	15343	12965
542	15374	12939
543	15405	12913
544	15435	12886
545	15466	12860
546	15496	12833
547	15526	12806
548	15552	12776
549	15578	12746
550	15607	12718
551	15636	12690
552	15665	12662
553	15694	12634
554	15723	12606
555	15750	12578
556	15782	12552
557	15812	12525
558	15842	12498
559	15870	12469
560	15897	12440
561	15929	12414
562	15956	12385
563	15985	12357
564	16013	12329
565	16043	12301
566	16073	12274
567	16103	12247
568	16130	12218
569	16160	12191
570	16187	12161
571	16213	12132
572	16241	12103
573	16268	12073
574	16296	12045
575	16326	12018
576	16353	11989
577	16384	11962
578	16412	11933
579	16440	11904
580	16469	11877
581	16501	11851
582	16528	11821
583	16556	11793
584	16584	11765
585	16613	11737
586	16639	11707
587	16668	11679
588	16702	11654
589	16729	11625
590	16759	11598
591	16788	11570
592	16819	11543
593	16846	11514
594	16876	11487
595	16906	11460
596	16933	11430
597	16964	11404
598	16992	11375
599	17019	11346
600	17047	11317
601	17076	11289
602	17109	11264
603	17134	11233
604	17165	11207
605	17195	11179
606	17221	11149
607	17247	11120
608	17279	11094
609	17309	11066
610	17334	11036
611	17366	11010
612	17397	10983
613	17427	10955
614	17454	10926
615	17486	10900
616	17514	10872
617	17539	10841
618	17570	10814
619	17602	10788
620	17628	10758
621	17655	10729
622	17686	10702
623	17719	10677
624	17747	10648
625	17778	10621
626	17805	10592
627	17832	10563
628	17861	10535
629	17893	10508
630	17921	10480
631	17947	10450
632	17976	10422
633	18004	10393
634	18032	10365
635	18062	10337
636	18094	10311
637	18122	10282
638	18148	10252
639	18178	10225
640	18206	10196
641	18231	10166
642	18259	10137
643	18288	10109
644	18316	10080
645	18342	10051
646	18367	10021
647	18403	9996
648	18429	9967
649	18457	9938
650	18487	9910
651	18512	9880
652	18538	9851
653	18565	9822
654	18597	9795
655	18624	9766
656	18651	9737
657	18681	9709
658	18714	9683
659	18740	9654
660	18770	9626
661	18800	9598
662	18828	9570
663	18855	9541
664	18883	9512
665	18912	9484
666	18940	9455
667	18966	9426
668	18998	9399
669	19025	9370
670	19053	9342
671	19081	9313
672	19112	9286
673	19139	9257
674	19169	9229
675	19198	9201
676	19224	9172
677	19251	9142
678	19280	9114
679	19311	9087
680	19337	9058
681	19368	9031
682	19401	9004
683	19428	8975
684	19457	8947
685	19485	8918
686	19516	8892
687	19542	8862
688	19568	8832
689	19599	8805
690	19628	8777
691	19656	8748
692	19684	8720
693	19717	8694
694	19748	8666
695	19777	8638
696	19808	8611
697	19835	8582
698	19863	8553
699	19891	8524
700	19920	8496
701	19948	8467
702	19973	8438
703	20001	8409
704	20032	8382
705	20061	8354
706	20091	8326
707	20122	8299
708	20147	8269
709	20175	8240
710	20205	8212
711	20233	8184
712	20263	8156
713	20291	8128
714	20321	8100
715	20350	8071
716	20379	8043
717	20409	8016
718	20437	7987
719	20468	7959
720	20496	7931
721	20524	7902
722	20552	7874
723	20584	7847
724	20613	7818
725	20641	7790
726	20671	7762
727	20702	7734
728	20730	7706
729	20760	7678
730	20788	7649
731	20819	7622
732	20845	7593
733	20876	7565
734	20903	7536
735	20931	7508
736	20960	7479
737	20986	7450
738	21019	7423
739	21048	7395
740	21078	7367
741	21107	7339
742	21135	7310
743	21165	7282
744	21194	7254
745	21222	7225
746	21249	7196
747	21280	7169
748	21307	7140
749	21334	7111
750	21366	7084
751	21396	7056
752	21427	7028
753	21457	7000
754	21488	6973
755	21515	6944
756	21542	6915
757	21573	6887
758	21602	6859
759	21626	6829
760	21655	6801
761	21702	6778
762	21727	6748
763	21756	6720
764	21786	6692
765	21813	6663
766	21842	6635
767	21870	6606
768	21905	6580
769	21929	6550
770	21958	6522
771	21987	6493
772	22015	6465
773	22044	6436
774	22072	6408
775	22103	6380
776	22129	6351
777	22160	6323
778	22195	6296
779	22226	6269
780	22256	6240
781	22283	6211
782	22313	6184
783	22343	6155
784	22373	6127
785	22404	6099
786	22429	6070
787	22459	6042
788	22487	6013
789	22517	5985
790	22543	5956
791	22574	5928
792	22604	5900
793	22625	5870
794	22655	5842
795	22684	5813
796	22714	5785
797	22741	5756
798	22771	5728
799	22799	5699
800	22824	5670
801	22852	5641
802	22880	5613
803	22911	5585
804	22938	5556
805	22970	5528
806	22999	5500
807	23025	5471
808	23054	5442
809	23084	5414
810	23110	5385
811	23136	5356
812	23165	5328
813	23195	5300
814	23223	5271
815	23251	5242
816	23282	5215
817	23310	5186
818	23337	5157
819	23367	5129
820	23397	5101
821	23427	5073
822	23454	5044
823	23486	5016
824	23512	4987
825	23540	4958
826	23572	4931
827	23600	4902
828	23625	4873
829	23654	4844
830	23685	4816
831	23712	4788
832	23739	4759
833	23770	4731
834	23800	4703
835	23826	4674
836	23854	4645
837	23884	4617
838	23910	4588
839	23938	4559
840	23968	4531
841	24001	4503
842	24029	4475
843	24058	4446
844	24087	4418
845	24115	4389
846	24144	4361
847	24172	4332
848	24201	4304
849	24227	4275
850	24254	4246
851	24283	4218
852	24311	4189
853	24341	4161
854	24371	4133
855	24402	4105
856	24430	4076
857	24459	4048
858	24490	4020
859	24515	3990
860	24545	3962
861	24575	3934
862	24603	3905
863	24631	3877
864	24662	3849
865	24691	3820
866	24718	3791
867	24747	3763
868	24776	3734
869	24805	3706
870	24831	3677
871	24859	3649
872	24890	3620
873	24917	3592
874	24947	3563
875	24977	3535
876	25005	3506
877	25033	3478
878	25063	3450
879	25090	3421
880	25117	3392
881	25147	3364
882	25175	3335
883	25204	3307
884	25231	3278
885	25264	3250
886	25292	3222
887	25318	3193
888	25347	3164
889	25374	3136
890	25402	3107
891	25432	3079
892	25463	3051
893	25493	3022
894	25521	2994
895	25551	2965
896	25579	2937
897	25607	2908
898	25637	2880
899	25667	2851
900	25695	2823
901	25722	2794
902	25752	2766
903	25781	2737
904	25808	2709
905	25838	2680
906	25866	2652
907	25893	2623
908	25921	2594
909	25950	2566
910	25981	2538
911	26006	2509
912	26037	2481
913	26068	2452
914	26095	2424
915	26123	2395
916	26153	2367
917	26182	2338
918	26209	2310
919	26239	2281
920	26270	2253
921	26298	2224
922	26330	2196
923	26362	2168
924	26390	2139
925	26419	2111
926	26449	2082
927	26480	2054
928	26506	2025
929	26535	1997
930	26566	1968
931	26595	1940
932	26625	1912
933	26650	1883
934	26682	1854
935	26708	1826
936	26737	1797
937	26768	1769
938	26796	1740
939	26826	1712
940	26854	1683
941	26884	1655
942	26909	1626
943	26942	1598
944	26970	1569
945	26998	1541
946	27026	1512
947	27058	1484
948	27090	1455
949	27117	1427
950	27146	1398
951	27175	1370
952	27202	1341
953	27231	1313
954	27263	1284
955	27290	1256
956	27318	1227
957	27352	1199
958	27380	1170
959	27407	1141
960	27437	1113
961	27467	1085
962	27497	1056
963	27529	1028
964	27559	999
965	27589	971
966	27621	942
967	27648	914
968	27680	885
969	27711	857
970	27741	828
971	27771	800
972	27799	771
973	27830	742
974	27857	714
975	27887	685
976	27917	657
977	27947	628
978	27977	600
979	28008	571
980	28038	543
981	28066	514
982	28097	485
983	28127	457
984	28156	428
985	28187	400
986	28217	371
987	28245	343
988	28279	314
989	28309	285
990	28340	257
991	28368	228
992	28399	200
993	28429	171
994	28458	143
995	28491	114
996	28520	85
997	28552	57
998	28582	28
999	28611	0
